date,confirmed
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,2
2020-02-29,2
2020-03-01,2
2020-03-02,2
2020-03-03,2
2020-03-04,3
2020-03-05,8
2020-03-06,14
2020-03-07,19
2020-03-08,25
2020-03-09,25
2020-03-10,29
2020-03-11,43
2020-03-12,89
2020-03-13,96
2020-03-14,136
2020-03-15,155
2020-03-16,280
2020-03-17,327
2020-03-18,514
2020-03-19,642
2020-03-20,930
2020-03-21,1132
2020-03-22,1594
2020-03-23,1952
2020-03-24,2255
2020-03-25,2565
2020-03-26,2987
2020-03-27,3476
2020-03-28,3953
2020-03-29,4303
2020-03-30,4660
2020-03-31,5824
2020-04-01,6931
2020-04-02,8098
2020-04-03,9212
2020-04-04,10381
2020-04-05,11421
2020-04-06,12261
2020-04-07,14082
2020-04-08,16255
2020-04-09,18176
2020-04-10,19937
2020-04-11,20991
2020-04-12,22456
2020-04-13,23857
2020-04-14,25775
2020-04-15,29018
2020-04-16,31101
2020-04-17,34397
2020-04-18,37175
2020-04-19,39105
2020-04-20,40921
2020-04-21,43644
2020-04-22,46423
2020-04-23,50296
2020-04-24,54209
2020-04-25,59506
2020-04-26,63221
2020-04-27,67366
2020-04-28,73600
2020-04-29,79714
2020-04-30,87126
2020-05-01,92582
2020-05-02,97430
2020-05-03,101816
