,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,10/03,1.0,,,,
2,11/03,2.0,,,,
3,12/03,4.0,,,,
4,13/03,4.0,,,,
5,14/03,4.0,,,,
6,15/03,4.0,,,,
7,16/03,8.0,,,,
8,17/03,8.0,,,,
9,18/03,19.0,,,,
10,19/03,31.0,,,,
11,20/03,43.0,,,,
12,21/03,69.0,,,,
13,22/03,77.0,,,,
14,23/03,96.0,,,,
15,24/03,112.0,,,,
16,25/03,162.0,,,,
17,26/03,190.0,,,,
18,27/03,197.0,,,,
19,28/03,200.0,,,,
20,29/03,230.0,,,,
21,30/03,254.0,,,,
22,31/03,305.0,,,,
23,01/04,316.0,,,,
24,02/04,386.0,,,,
25,03/04,410.0,,,,
26,04/04,418.0,,,,
27,05/04,468.0,,,,
28,06/04,501.0,,,,
29,07/04,555.0,,,,
30,08/04,581.0,,,,
31,09/04,636.0,,,,
32,10/04,640.0,,,,
33,11/04,653.0,,,,
34,12/04,664.0,,,,
35,13/04,685.0,,,,
36,14/04,720.0,,,,
37,15/04,762.0,,,,
38,16/04,792.0,,,,
39,17/04,831.0,,,,
40,18/04,854.0,,,,
41,19/04,869.0,,,,
42,20/04,904.0,,,,
43,21/04,918.0,,,,
44,22/04,970.0,,,,
45,23/04,1039.0,,,,
46,24/04,1096.0,,,,
47,25/04,1166.0,,,,
48,26/04,1208.0,,,,
49,27/04,1256.0,,,,
50,28/04,1350.0,,,,
51,29/04,1420.0,,,,
52,30/04,1529.0,,,,
53,01/05,1619.0,,,,
54,02/05,1666.0,,,,
55,03/05,1690.0,,,,
56,04/05,1768.0,,,,
57,05/05,2019.0,,,,
58,06/05,2100.0,,,,
59,07/05,2182.0,,,,
60,08/05,2493.0,,,,
61,09/05,2542.0,,,,
62,10/05,2576.0,,,,
63,11/05,2808.0,,,,
64,12/05,2917.0,,,,
65,13/05,2997.0,,,,
66,14/05,3101.0,,,,
67,15/05,3695.0,,,,
68,16/05,3734.0,,,,
69,17/05,3735.0,,,,
70,18/05,3750.0,,,,
71,19/05,3798.0,,,,
72,20/05,4973.0,,,,
73,21/05,5473.0,,,,
74,22/05,5918.0,,,,
75,23/05,6336.0,,,,
76,24/05,6470.0,,,,
77,25/05,6559.0,,,,
78,26/05,6785.0,,,,
79,27/05,7048.0,,,,
80,28/05,8234.0,,,,
81,29/05,8843.0,,,,
82,30/05,9242.0,,,,
83,31/05,9332.0,,,,
84,01/06,9496.0,,,,
85,02/06,9919.0,,,,
86,03/06,10398.0,,,,
0,04/06,10787.0062284533,10553.801054633499,11020.2114022731,10430.3496927478,11143.662764158898
1,05/06,11156.175499383899,10765.8212142377,11546.5297845301,10559.1801379274,11753.1708608404
2,06/06,11525.3447703144,11002.0079224644,12048.681618164499,10724.9701298037,12325.7194108252
3,07/06,11894.514041245,11245.340959842,12543.6871226479,10901.6894889672,12887.3385935227
4,08/06,12263.6833121755,11490.6792764817,13036.6873478694,11081.4756581119,13445.8909662391
5,09/06,12632.852583106102,11735.7816960381,13529.923470174099,11260.9010538007,14004.804112411499
6,10/06,13002.021854036599,11979.498224646499,14024.545483426798,11438.2069121898,14565.8367958835
