,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,14/03,2.0,,,,
2,15/03,2.0,,,,
3,16/03,4.0,,,,
4,17/03,6.0,,,,
5,18/03,7.0,,,,
6,19/03,9.0,,,,
7,20/03,12.0,,,,
8,21/03,16.0,,,,
9,22/03,21.0,,,,
10,23/03,21.0,,,,
11,24/03,24.0,,,,
12,25/03,24.0,,,,
13,26/03,25.0,,,,
14,27/03,28.0,,,,
15,28/03,31.0,,,,
16,29/03,36.0,,,,
17,30/03,44.0,,,,
18,31/03,48.0,,,,
19,01/04,51.0,,,,
20,02/04,53.0,,,,
21,03/04,60.0,,,,
22,04/04,62.0,,,,
23,05/04,65.0,,,,
24,06/04,66.0,,,,
25,07/04,80.0,,,,
26,08/04,85.0,,,,
27,09/04,89.0,,,,
28,10/04,97.0,,,,
29,11/04,100.0,,,,
30,12/04,101.0,,,,
31,13/04,113.0,,,,
32,14/04,115.0,,,,
33,15/04,121.0,,,,
34,16/04,131.0,,,,
35,17/04,143.0,,,,
36,18/04,161.0,,,,
37,19/04,168.0,,,,
38,20/04,171.0,,,,
39,21/04,173.0,,,,
40,22/04,175.0,,,,
41,23/04,186.0,,,,
42,24/04,213.0,,,,
43,25/04,217.0,,,,
44,26/04,234.0,,,,
45,27/04,238.0,,,,
46,28/04,240.0,,,,
47,29/04,249.0,,,,
48,30/04,255.0,,,,
49,01/05,261.0,,,,
50,02/05,266.0,,,,
51,03/05,272.0,,,,
52,04/05,274.0,,,,
53,05/05,283.0,,,,
54,06/05,288.0,,,,
55,07/05,311.0,,,,
56,08/05,326.0,,,,
57,09/05,346.0,,,,
58,10/05,362.0,,,,
59,11/05,385.0,,,,
60,12/05,405.0,,,,
61,13/05,430.0,,,,
62,14/05,452.0,,,,
63,15/05,479.0,,,,
64,16/05,508.0,,,,
65,17/05,570.0,,,,
66,18/05,613.0,,,,
67,19/05,642.0,,,,
68,20/05,693.0,,,,
69,21/05,746.0,,,,
70,22/05,805.0,,,,
71,23/05,858.0,,,,
72,24/05,1023.0,,,,
73,25/05,1100.0,,,,
74,26/05,1186.0,,,,
75,27/05,1262.0,,,,
76,28/05,1356.0,,,,
77,29/05,1418.0,,,,
78,30/05,1489.0,,,,
79,31/05,1568.0,,,,
80,01/06,1646.0,,,,
0,02/06,1723.10935156241,1703.5251907690601,1742.6935123557598,1693.15796228211,1753.06074084271
1,03/06,1800.2187031248102,1766.77081629524,1833.66658995439,1749.06457456107,1851.3728316885602
2,04/06,1877.32805468722,1829.17110696974,1925.48500240471,1803.6783587489,1950.97775062555
3,05/06,1954.4374062496302,1890.42211846934,2018.45269402992,1856.5344721167999,2052.34034038245
4,06/06,2031.5467578120397,1950.49872404772,2112.59479157635,1907.5944866224302,2155.49902900164
5,07/06,2108.65610937444,2009.43414602367,2207.87807272522,1956.9092114178,2260.4030073310896
6,08/06,2185.76546093685,2067.27484507523,2304.25607679848,2004.5497019782397,2366.98121989546
