,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,20/03,1.0,,,,
2,21/03,3.0,,,,
3,22/03,3.0,,,,
4,23/03,3.0,,,,
5,24/03,5.0,,,,
6,25/03,5.0,,,,
7,26/03,6.0,,,,
8,27/03,6.0,,,,
9,28/03,6.0,,,,
10,29/03,6.0,,,,
11,30/03,8.0,,,,
12,31/03,9.0,,,,
13,01/04,9.0,,,,
14,02/04,10.0,,,,
15,03/04,10.0,,,,
16,04/04,11.0,,,,
17,05/04,14.0,,,,
18,06/04,18.0,,,,
19,07/04,23.0,,,,
20,08/04,26.0,,,,
21,09/04,28.0,,,,
22,10/04,32.0,,,,
23,11/04,34.0,,,,
24,12/04,42.0,,,,
25,13/04,42.0,,,,
26,14/04,69.0,,,,
27,15/04,73.0,,,,
28,16/04,92.0,,,,
29,17/04,110.0,,,,
30,18/04,128.0,,,,
31,19/04,160.0,,,,
32,20/04,199.0,,,,
33,21/04,223.0,,,,
34,22/04,223.0,,,,
35,23/04,250.0,,,,
36,24/04,290.0,,,,
37,25/04,328.0,,,,
38,26/04,364.0,,,,
39,27/04,393.0,,,,
40,28/04,413.0,,,,
41,29/04,433.0,,,,
42,30/04,502.0,,,,
43,01/05,585.0,,,,
44,02/05,654.0,,,,
45,03/05,705.0,,,,
46,04/05,756.0,,,,
47,05/05,861.0,,,,
48,06/05,943.0,,,,
49,07/05,1098.0,,,,
50,08/05,1222.0,,,,
51,09/05,1263.0,,,,
52,10/05,1302.0,,,,
53,11/05,1398.0,,,,
54,12/05,1460.0,,,,
55,13/05,1612.0,,,,
56,14/05,1686.0,,,,
57,15/05,1794.0,,,,
58,16/05,1918.0,,,,
59,17/05,1963.0,,,,
60,18/05,2043.0,,,,
61,19/05,2413.0,,,,
62,20/05,2499.0,,,,
63,21/05,2499.0,,,,
64,22/05,2774.0,,,,
65,23/05,3109.0,,,,
66,24/05,3201.0,,,,
67,25/05,3268.0,,,,
68,26/05,3493.0,,,,
69,27/05,3862.0,,,,
70,28/05,4252.0,,,,
71,29/05,4502.0,,,,
72,30/05,4743.0,,,,
73,31/05,4942.0,,,,
74,01/06,4942.0,,,,
75,02/06,5477.0,,,,
76,03/06,5714.0,,,,
77,04/06,6459.0,,,,
78,05/06,6862.0,,,,
79,06/06,7701.0,,,,
80,07/06,8110.0,,,,
81,08/06,8626.0,,,,
82,09/06,9220.0,,,,
83,10/06,9850.0,,,,
0,11/06,10385.0210586058,10249.8176217116,10520.2244955,10178.245245581,10591.7968716305
1,12/06,10986.1499676287,10773.3753570612,11198.924578196202,10660.739282059,11311.560653198401
2,13/06,11530.6295139572,11218.8981617418,11842.3608661725,11053.877552022299,12007.381475892
3,14/06,12123.653223701001,11716.544120704399,12530.7623266976,11501.033579588,12746.272867814
4,15/06,12675.0783048,12156.547920638,13193.6086889619,11882.054516158798,13468.1020934411
5,16/06,13262.150223405,12631.594650026102,13892.705796783799,12297.7986925726,14226.5017542373
6,17/06,13818.67553349,13063.8131941027,14573.5378728773,12664.2132096458,14973.137857334199
