,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,05/03,1.0,,,,
2,06/03,2.0,,,,
3,08/03,3.0,,,,
4,12/03,15.0,,,,
5,15/03,24.0,,,,
6,16/03,25.0,,,,
7,18/03,63.0,,,,
8,19/03,66.0,,,,
9,21/03,119.0,,,,
10,22/03,186.0,,,,
11,23/03,233.0,,,,
12,24/03,305.0,,,,
13,25/03,370.0,,,,
14,26/03,421.0,,,,
15,27/03,493.0,,,,
16,28/03,558.0,,,,
17,29/03,600.0,,,,
18,30/03,657.0,,,,
19,31/03,708.0,,,,
20,01/04,832.0,,,,
21,02/04,992.0,,,,
22,03/04,1074.0,,,,
23,04/04,1246.0,,,,
24,05/04,1394.0,,,,
25,06/04,1461.0,,,,
26,07/04,1688.0,,,,
27,08/04,1938.0,,,,
28,09/04,2216.0,,,,
29,10/04,2464.0,,,,
30,11/04,2607.0,,,,
31,12/04,2855.0,,,,
32,13/04,3221.0,,,,
33,14/04,3410.0,,,,
34,15/04,3743.0,,,,
35,16/04,3944.0,,,,
36,17/04,4349.0,,,,
37,18/04,4543.0,,,,
38,19/04,4675.0,,,,
39,20/04,4899.0,,,,
40,21/04,5306.0,,,,
41,22/04,5552.0,,,,
48,29/04,8869.0,,,,
49,30/04,9453.0,,,,
0,23/04,10014.9899303357,9863.85518322056,10166.1246774507,9783.84928088993,10246.1305797814
1,24/04,10558.6727079928,10355.2407676975,10762.104648288101,10247.5504035895,10869.7950123961
2,25/04,11102.35548565,10823.9391189173,11380.7718523827,10676.5543972086,11528.1565740914
3,26/04,11646.0382633072,11275.838864683401,12016.237661930902,11079.8671408111,12212.2093858032
4,27/04,12189.7210409644,11714.5443949459,12664.8976869828,11463.00107313,12916.441008798702
5,28/04,12733.403818621498,12142.1644847108,13324.6431525323,11829.1812872277,13637.6263500154
