,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,12/03,1.0,,,,
2,13/03,1.0,,,,
3,16/03,1.0,,,,
4,18/03,1.0,,,,
5,20/03,6.0,,,,
6,21/03,9.0,,,,
7,22/03,13.0,,,,
8,24/03,14.0,,,,
9,25/03,14.0,,,,
10,26/03,19.0,,,,
11,27/03,28.0,,,,
12,28/03,68.0,,,,
13,30/03,77.0,,,,
14,31/03,82.0,,,,
15,01/04,92.0,,,,
16,02/04,106.0,,,,
17,03/04,176.0,,,,
18,04/04,215.0,,,,
19,05/04,246.0,,,,
20,07/04,254.0,,,,
21,08/04,261.0,,,,
22,10/04,263.0,,,,
23,11/04,289.0,,,,
24,12/04,339.0,,,,
25,13/04,376.0,,,,
26,14/04,399.0,,,,
27,15/04,400.0,,,,
28,16/04,463.0,,,,
29,17/04,516.0,,,,
30,18/04,561.0,,,,
31,19/04,595.0,,,,
32,20/04,608.0,,,,
33,21/04,646.0,,,,
40,28/04,1086.0,,,,
41,29/04,1177.0,,,,
0,22/04,1256.53182561535,1208.6465185381,1304.4171326926,1183.29756818603,1329.76608304468
1,23/04,1336.06365123071,1260.1327136770599,1411.99458878436,1219.9373033577901,1452.18999910362
2,24/04,1415.59547684606,1312.34144852946,1518.84950516265,1257.68206766286,1573.5088860292499
3,25/04,1495.12730246141,1363.88499097883,1626.36961394399,1294.4095079774002,1695.84509694542
4,26/04,1574.65912807676,1414.35055816,1734.96769799352,1329.48832738686,1819.8299287666698
5,27/04,1654.19095369212,1463.59149253882,1844.7904148454102,1362.69423254812,1945.6876748361103
