,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,06/03,1.0,,,,
2,07/03,2.0,,,,
3,09/03,2.0,,,,
4,10/03,2.0,,,,
5,11/03,3.0,,,,
6,12/03,3.0,,,,
7,13/03,7.0,,,,
8,15/03,9.0,,,,
9,16/03,10.0,,,,
10,17/03,14.0,,,,
11,18/03,27.0,,,,
12,19/03,31.0,,,,
13,20/03,34.0,,,,
14,21/03,41.0,,,,
15,22/03,55.0,,,,
16,23/03,63.0,,,,
17,24/03,79.0,,,,
18,25/03,91.0,,,,
19,26/03,108.0,,,,
20,27/03,123.0,,,,
21,28/03,127.0,,,,
22,29/03,156.0,,,,
23,30/03,176.0,,,,
24,31/03,217.0,,,,
25,01/04,246.0,,,,
26,02/04,267.0,,,,
27,03/04,290.0,,,,
28,04/04,336.0,,,,
29,05/04,401.0,,,,
30,06/04,437.0,,,,
31,07/04,462.0,,,,
32,08/04,515.0,,,,
33,09/04,568.0,,,,
34,10/04,616.0,,,,
35,11/04,640.0,,,,
36,12/04,674.0,,,,
37,13/04,723.0,,,,
38,14/04,776.0,,,,
39,15/04,884.0,,,,
40,16/04,967.0,,,,
41,17/04,1064.0,,,,
42,18/04,1200.0,,,,
43,19/04,1249.0,,,,
44,20/04,1377.0,,,,
45,21/04,1504.0,,,,
46,22/04,1645.0,,,,
47,23/04,1845.0,,,,
48,24/04,1979.0,,,,
49,25/04,2116.0,,,,
50,26/04,2248.0,,,,
51,27/04,2356.0,,,,
52,28/04,2564.0,,,,
0,29/04,3044.5715150244105,3013.42476176297,3075.7182682858397,2996.9366665571,3092.20636349172
1,30/04,3181.82833421815,3130.83764749125,3232.81902094505,3103.84480845248,3259.81185998383
2,01/05,3385.6715200943604,3309.17830909202,3462.1647310967,3268.6852491886702,3502.65779100005
3,02/05,3526.32405450437,3415.87640202822,3636.77170698053,3357.4089465599895,3695.2391624487605
4,03/05,3705.73653769896,3564.3022330349895,3847.1708423629207,3489.4314347497602,3922.0416406481604
5,04/05,3878.10565943433,3697.6185785989296,4058.5927402697203,3602.0744893878705,4154.13682948079
