,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,05/03,1.0,,,,
2,06/03,1.0,,,,
3,07/03,1.0,,,,
4,08/03,1.0,,,,
5,09/03,1.0,,,,
6,10/03,1.0,,,,
7,11/03,1.0,,,,
8,12/03,2.0,,,,
9,13/03,2.0,,,,
10,14/03,4.0,,,,
11,15/03,4.0,,,,
12,16/03,8.0,,,,
13,17/03,8.0,,,,
14,18/03,11.0,,,,
15,19/03,13.0,,,,
16,20/03,16.0,,,,
17,21/03,26.0,,,,
18,22/03,26.0,,,,
19,23/03,33.0,,,,
20,24/03,40.0,,,,
21,25/03,40.0,,,,
22,26/03,48.0,,,,
23,27/03,54.0,,,,
24,28/03,61.0,,,,
25,29/03,72.0,,,,
26,30/03,85.0,,,,
27,31/03,97.0,,,,
28,01/04,120.0,,,,
29,02/04,139.0,,,,
30,03/04,153.0,,,,
31,04/04,166.0,,,,
32,05/04,194.0,,,,
33,06/04,209.0,,,,
34,07/04,227.0,,,,
35,08/04,273.0,,,,
36,09/04,300.0,,,,
37,10/04,349.0,,,,
38,11/04,383.0,,,,
39,12/04,430.0,,,,
40,13/04,463.0,,,,
41,14/04,557.0,,,,
42,15/04,734.0,,,,
43,16/04,935.0,,,,
44,17/04,952.0,,,,
45,18/04,1099.0,,,,
46,19/04,1195.0,,,,
47,20/04,1212.0,,,,
48,21/04,1313.0,,,,
49,22/04,1351.0,,,,
50,23/04,1453.0,,,,
51,24/04,1665.0,,,,
52,25/04,1711.0,,,,
53,26/04,1819.0,,,,
54,27/04,1944.0,,,,
55,28/04,2164.0,,,,
56,29/04,2538.0,,,,
57,30/04,2688.0,,,,
0,01/05,2886.77535900491,2818.6527709399898,2954.89794706982,2782.59085115472,2990.95986685509
1,02/05,3085.55071800981,2971.73066869096,3199.37076732867,2911.47797417236,3259.62346184726
2,03/05,3284.32607701472,3123.06075681844,3445.59139721099,3037.69205304105,3530.96010098839
3,04/05,3483.1014360196195,3271.3026157939303,3694.9002562453206,3159.18309299608,3807.0197790431703
4,05/05,3681.876795024529,3416.21673496455,3947.53685508451,3275.58479410372,4088.1687959453398
5,06/05,3880.6521540294398,3557.8214880211,4203.482820037771,3386.92525649915,4374.37905155972
6,07/05,4079.4275130343394,3696.21033166966,4462.64469439902,3493.34740988021,4665.50761618848
7,08/05,4278.20287203925,3831.49700832651,4724.90873575198,3595.0252082612396,4961.38053581726
8,09/05,4476.97823104415,3963.7966313221004,4990.159830766211,3692.1347022888704,5261.82175979944
9,10/05,4675.75359004906,4093.2189227732897,5258.28825732483,3784.84369746011,5566.6634826380105
10,11/05,4874.528949053971,4219.86603185084,5529.19186625709,3873.3084174503206,5875.749480657621
11,12/05,5073.30430805887,4343.83217173502,5802.77644438272,3957.67294888476,6188.9356672329895
12,13/05,5272.07966706378,4465.20397667202,6078.955357455529,4038.06978740927,6506.08954671828
13,14/05,5470.85502606868,4584.06111821358,6357.6489339237905,4114.62078014746,6827.089271989909
