,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,08/03,1.0,,,,
2,09/03,1.0,,,,
3,10/03,1.0,,,,
4,11/03,1.0,,,,
5,12/03,2.0,,,,
6,13/03,2.0,,,,
7,14/03,4.0,,,,
8,16/03,6.0,,,,
9,17/03,14.0,,,,
10,18/03,19.0,,,,
11,19/03,29.0,,,,
12,20/03,38.0,,,,
13,21/03,55.0,,,,
14,22/03,83.0,,,,
15,23/03,128.0,,,,
16,24/03,130.0,,,,
17,25/03,133.0,,,,
18,26/03,153.0,,,,
19,27/03,189.0,,,,
20,28/03,205.0,,,,
21,29/03,231.0,,,,
22,30/03,261.0,,,,
23,31/03,275.0,,,,
24,01/04,314.0,,,,
25,02/04,370.0,,,,
26,03/04,397.0,,,,
27,04/04,430.0,,,,
28,05/04,498.0,,,,
29,06/04,525.0,,,,
30,07/04,559.0,,,,
31,08/04,614.0,,,,
32,09/04,655.0,,,,
33,10/04,698.0,,,,
34,11/04,750.0,,,,
35,12/04,806.0,,,,
36,13/04,815.0,,,,
37,14/04,884.0,,,,
38,15/04,903.0,,,,
39,16/04,958.0,,,,
40,17/04,1021.0,,,,
41,18/04,1077.0,,,,
42,19/04,1154.0,,,,
43,20/04,1189.0,,,,
44,21/04,1230.0,,,,
45,22/04,1283.0,,,,
46,23/04,1308.0,,,,
47,24/04,1419.0,,,,
48,25/04,1481.0,,,,
49,26/04,1548.0,,,,
50,27/04,1586.0,,,,
51,28/04,1649.0,,,,
52,29/04,1758.0,,,,
0,30/04,1890.0529620039604,1865.5824847398499,1914.5234392680802,1852.62859656161,1927.4773274463198
1,01/05,1964.05738700577,1930.38541760881,1997.72935640273,1912.5605537288898,2015.5542202826502
2,02/05,2040.18785848358,1999.0264262791102,2081.3492906880397,1977.23688027728,2103.13883668987
3,03/05,2116.31832996138,2065.20484826229,2167.43181166047,2038.14700549182,2194.48965443095
4,04/05,2192.4488014391895,2129.38785218238,2255.509750696,2096.00540212757,2288.8922007508104
5,05/05,2268.57927291699,2191.9342620051198,2345.2242838288603,2151.36084408373,2385.79770175025
6,06/05,2344.7097443948,2253.09195459285,2436.32753419675,2204.5924263072698,2484.82706248233
7,07/05,2420.8402158726103,2313.03169709988,2528.64873464534,2255.96131462343,2585.71911712179
8,08/05,2496.97068735041,2371.8749723947603,2622.0664023060604,2305.6533010467397,2688.28807365408
9,09/05,2573.10115882822,2429.71178956975,2716.49052808668,2353.80604260472,2792.39627505172
10,10/05,2649.2316303060197,2486.61150567364,2811.85175493841,2400.52561174996,2897.9376488620896
11,11/05,2725.36210178383,2542.6294355063897,2908.0947680612703,2445.89660516875,3004.8275983989097
12,12/05,2801.49257326164,2597.8109917383604,3005.17415478491,2489.9884755469798,3112.9966709763003
13,13/05,2877.6230447394396,2652.19436159642,3103.05172788247,2532.85962520832,3222.3864642705703
